Nested Sampling Global Log-Evidence           :   -0.151663552708386965E+04  +/-    0.278587341296313740E+00
Nested Importance Sampling Global Log-Evidence:   -0.152032831744929103E+04  +/-    0.429261641520023718E-01

Dim No.       Mean        Sigma
   1    0.777932438691006922E+02    0.141389464281422921E+02
   2    0.389808645697111211E+00    0.469330527102652884E+00
   3   -0.107097025488920125E+00    0.543746797382526204E+01
   4   -0.211403099847627479E+00    0.415165982433249758E+00
   5    0.504567925490544633E+00    0.280186476322443034E+00
   6    0.199160061109677677E+01    0.112056143766773375E+01
   7    0.254681808083136230E+00    0.135573856069901605E+00
   8    0.156556916693417654E-01    0.389871780431370104E-02
   9    0.206485953964598545E-03    0.329917067859794577E-02
  10   -0.140460062382599227E+00    0.512202704477346948E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.886244231752195333E+02
   2    0.246432484025326026E+00
   3    0.755142613574252408E+01
   4   -0.526190962718580124E+00
   5    0.643257107344150980E+00
   6    0.219278376657267904E+01
   7    0.151002106852875018E+00
   8    0.298365410171097523E-02
   9    0.158457580753834648E-02
  10   -0.167128552955291276E-01

MAP Parameters
Dim No.        Parameter
   1    0.886244231752195333E+02
   2    0.246432484025326026E+00
   3    0.755142613574252408E+01
   4   -0.526190962718580124E+00
   5    0.643257107344150980E+00
   6    0.219278376657267904E+01
   7    0.151002106852875018E+00
   8    0.298365410171097523E-02
   9    0.158457580753834648E-02
  10   -0.167128552955291276E-01
