Nested Sampling Global Log-Evidence           :   -0.251222323274937571E+04  +/-    0.328788150491618081E+00
Nested Importance Sampling Global Log-Evidence:   -0.251596608135846645E+04  +/-    0.185222900322786453E-01

Dim No.       Mean        Sigma
   1    0.845409240931995072E+02    0.100752166236871670E+02
   2    0.131430551471449220E+00    0.378896037731323354E+00
   3   -0.144901393712289824E-01    0.554742358655098133E+01
   4   -0.407177963338568705E+00    0.267666617592442202E+00
   5    0.516909968983995549E+00    0.278919479473617726E+00
   6    0.206274266524947025E+01    0.113935807042020620E+01
   7    0.250231335195290727E+00    0.139300626705492842E+00
   8    0.520755278703262207E-02    0.384755588484860531E-02
   9    0.617420316734435481E-03    0.103549966938871617E-02
  10   -0.327236060172371099E-01    0.136958506879193254E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.965027462580069226E+02
   2   -0.130740061568452859E+00
   3   -0.377329136922112696E+01
   4   -0.702642941002217469E+00
   5    0.375043414729008595E+00
   6    0.292896199455930084E+01
   7    0.338909174810361702E+00
   8    0.199433399019754987E-02
   9    0.442543238936110583E-03
  10   -0.124727773435295841E-01

MAP Parameters
Dim No.        Parameter
   1    0.965027462580069226E+02
   2   -0.130740061568452859E+00
   3   -0.377329136922112696E+01
   4   -0.702642941002217469E+00
   5    0.375043414729008595E+00
   6    0.292896199455930084E+01
   7    0.338909174810361702E+00
   8    0.199433399019754987E-02
   9    0.442543238936110583E-03
  10   -0.124727773435295841E-01
