Nested Sampling Global Log-Evidence           :   -0.517020467474168868E+03  +/-    0.202543155394787511E+00
Nested Importance Sampling Global Log-Evidence:   -0.520306092348451898E+03  +/-    0.295658143635961546E+00

Dim No.       Mean        Sigma
   1    0.750832913817482535E+02    0.141197760741582652E+02
   2    0.515901555411258594E+00    0.833912792341865772E+00
   3   -0.160126994465744049E+00    0.571018802583345408E+01
   4   -0.135713043516526882E+00    0.420755581106940557E+00
   5    0.502963716303401753E+00    0.281163544264039167E+00
   6    0.199916138426457746E+01    0.115873659676605634E+01
   7    0.253299494958136195E+00    0.141340163339527453E+00
   8    0.167582255046428048E-01    0.688166195888012273E-02
   9    0.259979584106999719E-03    0.653063705651184528E-02
  10   -0.221386537166028789E-01    0.585719125173745359E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.913005820721157022E+02
   2   -0.319335110958998580E+00
   3    0.521315890361805145E+00
   4   -0.580959892322297833E+00
   5    0.937490249880289173E+00
   6    0.189126548505620518E+01
   7    0.231796052651680379E+00
   8    0.802847749116741838E-02
   9    0.201526315741329398E-03
  10   -0.313343788510749288E-01

MAP Parameters
Dim No.        Parameter
   1    0.913005820721157022E+02
   2   -0.319335110958998580E+00
   3    0.521315890361805145E+00
   4   -0.580959892322297833E+00
   5    0.937490249880289173E+00
   6    0.189126548505620518E+01
   7    0.231796052651680379E+00
   8    0.802847749116741838E-02
   9    0.201526315741329398E-03
  10   -0.313343788510749288E-01
