Nested Sampling Global Log-Evidence           :   -0.151610886007512977E+04  +/-    0.220577254291676406E+00
Nested Importance Sampling Global Log-Evidence:   -0.152004168727881097E+04  +/-    0.185892476318111066E-01

Dim No.       Mean        Sigma
   1    0.785097405809895861E+02    0.137246011655627704E+02
   2    0.381207347540690633E+00    0.476584274889140902E+00
   3   -0.243933342185116614E+00    0.565292868707293295E+01
   4   -0.234069141708748540E+00    0.397935039638630916E+00
   5    0.493858213777249921E+00    0.278004577278329557E+00
   6    0.203196493103175291E+01    0.111114540905437509E+01
   7    0.249825705855057090E+00    0.140604323615164811E+00
   8    0.143942053087946671E-01    0.478283734405870846E-02
   9    0.425854433493949699E-03    0.307857761151917328E-02
  10   -0.120789765225021620E+00    0.488034656495069885E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.784057153245428253E+02
   2    0.231517117749005408E+00
   3   -0.852997115448163257E+00
   4   -0.262768357273131414E+00
   5    0.973898320164458875E+00
   6    0.369689662217204251E+01
   7    0.248977993795879982E+00
   8    0.139246575389462279E-02
   9    0.304136670132404419E-03
  10   -0.109762095576079188E-01

MAP Parameters
Dim No.        Parameter
   1    0.784057153245428253E+02
   2    0.231517117749005408E+00
   3   -0.852997115448163257E+00
   4   -0.262768357273131414E+00
   5    0.973898320164458875E+00
   6    0.369689662217204251E+01
   7    0.248977993795879982E+00
   8    0.139246575389462279E-02
   9    0.304136670132404419E-03
  10   -0.109762095576079188E-01
