Nested Sampling Global Log-Evidence           :   -0.127209717054362272E+04  +/-    0.276594498160736391E+00
Nested Importance Sampling Global Log-Evidence:   -0.127476922939325823E+04  +/-    0.734541803369454516E+00

Dim No.       Mean        Sigma
   1    0.791675108340882332E+02    0.134737387725703694E+02
   2   -0.109288053703342669E+01    0.419203292508129544E+00
   3    0.381220523206785122E+00    0.553227878549810281E+01
   4   -0.205464016617605438E+00    0.394573296131532303E+00
   5    0.494339760665972461E+00    0.277182625213462708E+00
   6    0.208294391603281159E+01    0.109888478466408324E+01
   7    0.257134116557075798E+00    0.138503431817956796E+00
   8   -0.275648172518376290E-01    0.391578841803391468E-02
   9    0.786522170682934889E-02    0.310210968290036953E-02
  10   -0.927205955555345240E-01    0.558859853830788289E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.873852196210498136E+02
   2   -0.127416332917741215E+01
   3    0.907892712965568904E+01
   4   -0.449266475455047498E+00
   5    0.104419159090943015E+00
   6    0.279358071245283313E+01
   7    0.255931507934413494E+00
   8   -0.167298259278945149E-01
   9    0.501578945343394977E-02
  10   -0.333088605136160343E-01

MAP Parameters
Dim No.        Parameter
   1    0.873852196210498136E+02
   2   -0.127416332917741215E+01
   3    0.907892712965568904E+01
   4   -0.449266475455047498E+00
   5    0.104419159090943015E+00
   6    0.279358071245283313E+01
   7    0.255931507934413494E+00
   8   -0.167298259278945149E-01
   9    0.501578945343394977E-02
  10   -0.333088605136160343E-01
